Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
        Harvesting and threshing,6004,2237,6629,1806,4079,2400,4891,2125,5238,1935,4135,2585,7636,3897,8123,3685,6238,4273,9509,4221,9509,4221,...,...,6790,4317,7498,4487,4998,3278,6902,4519,7782,4471,5362,4229
        Post-harvest labor,69,136,51,110,122,191,227,212,230,233,185,146,320,416,349,444,237,320,256,385,256,385,...,...,557,423,635,458,360,223,583,498,637,501,490,484
        Permanent hired labor,454,1618,552,1832,152,547,571,1517,655,1686,240,634,1381,3418,1315,3341,1570,3744,1086,2621,1086,2621,...,...,438,2458,546,2871,165,671,1489,4030,2094,4817,431,1592
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,36,48,34,45,43,56,4,19,5,21,0,...,91,327,123,375,0,...,74,149,74,149,...,...,0,...,0,...,0,...,31,146,49,181,0,...
        Land preparation,412,430,356,376,584,547,586,465,530,467,711,446,582,760,671,835,326,406,1362,1413,1362,1413,...,...,1026,1608,835,1545,1509,1686,580,982,430,769,842,1240
        Crop establishment,58,101,46,84,94,138,400,455,504,509,181,100,110,168,129,188,54,67,296,329,296,329,...,...,306,543,254,329,436,871,227,272,220,298,239,222
        Crop care and maintenance,903,601,939,672,793,283,461,479,558,606,365,196,1038,917,1201,968,568,546,1840,1897,1840,1897,...,...,1664,1996,1747,2146,1453,1563,1270,1618,1180,1831,1427,1158
        Harvesting and threshing,52,332,9,55,185,666,0,...,0,...,0,...,88,475,0,...,342,909,0,...,0,...,...,...,43,269,47,307,32,131,36,268,0,...,100,441
        Post-harvest labor,32,54,27,37,47,88,223,157,227,175,258,149,32,83,22,70,59,112,14,62,14,62,...,...,0,...,0,...,0,...,8,38,12,47,1,6
 Power,387,796,479,892,103,214,571,1155,766,1276,78,45,422,702,473,686,276,751,342,693,342,693,...,...,322,743,198,484,635,1116,306,444,301,474,315,392
 Total Labor and Power Costs,10440,,11151,,8255,,9735,,10279,,8542,,14645,,15641,,11790,,17821,,17821,,0,,14407,,15352,,12016,,15195,,17088,,11882,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,509,421,561,381,346,508,803,540,821,339,760,938,355,355,401,368,223,289,251,296,251,296,...,...,436,706,525,804,210,248,802,1034,839,1142,738,820
      Irrigation,646,696,833,693,69,250,733,811,1014,784,0,...,1158,1264,1562,1234,0,...,1272,897,1272,897,...,...,881,1964,1229,2229,0,...,347,747,546,878,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,101,183,89,121,133,302,91,150,91,150,...,...,35,79,35,82,34,69,115,174,98,167,146,185
      Land tax,271,548,314,611,136,244,86,145,88,153,68,116,483,664,393,632,739,709,1066,1426,1066,1426,...,...,162,663,198,760,71,287,0,...,0,...,0,...
      Land rent,4515,8557,5153,9553,2552,3901,4675,5603,5068,5703,4171,5522,11287,7099,12488,5779,7846,9374,12067,6215,12067,6215,...,...,2196,5115,2066,5008,2524,5439,5210,9301,5776,9582,4218,8816
      Other inputs,14,71,16,82,6,8,77,176,71,189,117,137,389,600,395,630,372,522,187,254,187,254,...,...,819,486,932,492,535,332,2292,7790,2508,9283,1914,4113
      Interest on capital,12,15,15,15,6,11,11,14,15,16,6,12,936,1232,1131,1357,379,452,1001,1208,1001,1208,...,...,399,1327,190,364,929,2368,50,154,56,183,41,81
 Total Other Costs,5966,,6893,,3115,,6385,,7077,,5121,,14709,,16458,,9693,,15936,,15936,,0,,4927,,5174,,4302,,8816,,9822,,7056,
Total Cost of Production,22775,,24469,,17564,,22069,,23345,,19595,,38166,,40556,,31316,,44852,,44852,,0,,31670,,32495,,29584,,34321,,37267,,29167,
NET RETURNS,15538,,18945,,4148,,8375,,10702,,2740,,12791,,14447,,8147,,20286,,20286,,0,,26946,,34606,,8405,,30734,,38694,,17353,
Cost/kg,5.06,,4.74,,7.16,,6.77,,6.42,,8.12,,10.57,,10.43,,11.12,,10.39,,10.39,,0,,8.99,,8.15,,12.55,,9.59,,9.02,,11.17,
Net Profit Cost Ratio,0.68,,0.77,,0.24,,0.38,,0.46,,0.14,,0.34,,0.36,,0.26,,0.45,,0.45,,0,,0.85,,1.06,,0.28,,0.9,,1.04,,0.59,
Net Profit from Rice Farming,15538,,18945,,4148,,8375,,10702,,2740,,12791,,14447,,8147,,20286,,20286,,0,,26946,,34606,,8405,,30734,,38694,,17353,
"Net Profit from Rice Farming + Returns
 to Own Labor",17032,,20357,,5893,,10048,,12525,,4254,,14732,,16594,,9496,,23873,,23873,,0,,29984,,37490,,11836,,32885,,40583,,19962,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",21547,,25510,,8445,,14723,,17593,,8425,,26019,,29082,,17341,,35940,,35940,,0,,32179,,39556,,14359,,38095,,46359,,24180,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",21560,,25525,,8450,,14734,,17608,,8431,,26956,,30213,,17720,,36942,,36942,,0,,32578,,39745,,15288,,38145,,46415,,24220,
Agusan del Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 25),,(n = 15),,(n = 10),,(n = 18),,(n = 11),,(n = 7),,(n = 57),,(n = 32),,(n = 25),,(n = 51),,(n = 34),,(n = 17),,(n = 86),,(n = 66),,(n = 20),,(n = 104),,(n = 72),,(n = 32),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.31,1.87,0.95,0.48,1.85,2.9,1.21,1.04,1.39,1.26,0.93,0.53,1.15,1.4,1.05,0.84,1.27,1.9,1.13,1.06,1.01,0.75,1.36,1.51,1.24,1.64,0.99,0.71,2.08,3.07,1.12,0.78,1.12,0.85,1.11,0.61
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),3960,1550,4287,1376,3470,1737,4499,1056,4682,993,4211,1165,3980,2208,3901,2137,4081,2337,4015,1343,4488,1276,3070,921,3370,1831,3775,1753,2032,1424,3916,2011,4059,1936,3594,2168
   Price (₱/kg),9.72,0.56,9.55,0.57,9.99,0.43,10.66,0.48,10.54,0.43,10.84,0.53,14.33,0.99,14.18,0.98,14.53,0.99,15.11,0.87,15.37,0.91,14.59,0.49,16.23,2.22,16.65,1.73,14.85,3.04,17.36,1.27,17.42,1.37,17.24,1.04
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,38509,,40928,,34661,,47939,,49331,,45664,,57033,,55300,,59288,,60668,,68971,,44795,,54699,,62861,,30174,,67983,,70686,,61959,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1254,874,960,574,1696,1077,1008,576,762,383,1394,640,1499,949,1339,886,1703,1006,1773,901,1870,984,1580,692,2021,884,2092,937,1787,646,1918,1097,1860,1082,2050,1137
      Fertilizer,3369,1873,3760,1760,2782,1974,2922,1584,2806,1415,3103,1924,4823,3705,5571,4087,3866,2960,4366,3816,4919,4415,3262,1828,5790,4317,6527,4592,3358,1768,4170,2906,4559,3220,3293,1782
      Herbicides,453,500,380,259,564,735,492,366,546,440,407,206,797,688,694,646,929,731,591,477,630,533,514,343,857,615,786,472,1091,925,723,450,652,354,882,591
      Insecticides,599,456,518,342,721,587,546,521,462,434,678,651,986,1003,566,639,1524,1134,791,658,751,622,871,739,1004,846,850,778,1514,879,1152,1162,1033,1124,1421,1218
      Fungicides,9,43,0,...,22,69,13,43,3,11,29,67,66,212,59,237,76,179,43,199,44,230,39,121,156,418,176,465,90,187,142,432,187,509,39,115
      Other pesticides,0,...,0,...,0,...,42,106,0,...,108,152,92,254,86,202,101,314,103,324,16,68,278,519,645,828,716,914,411,366,450,444,382,368,602,556
 Total Material Costs,5684,,5617,,5783,,5023,,4580,,5719,,8264,,8316,,8198,,7667,,8230,,6543,,10473,,11147,,8251,,8554,,8674,,8286,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,110,258,42,122,210,367,63,135,49,90,84,194,120,248,142,263,92,229,171,313,170,345,172,244,271,429,273,426,264,453,212,491,225,560,181,285
        Land preparation,2217,1372,2161,1457,2301,1306,2286,1329,1957,1059,2801,1621,2685,1384,2518,1435,2898,1315,3103,1549,2845,1451,3618,1654,2869,2011,2916,2037,2715,1966,3191,1861,3295,1797,2956,2005
        Crop establishment,2311,364,2221,391,2446,284,2810,868,2566,555,3195,1157,4949,2091,5350,2035,4437,2090,4648,1311,4762,972,4418,1827,6088,3122,6529,3238,4633,2197,5304,2367,5690,2383,4437,2119
        Crop care and maintenance,529,878,149,243,1099,1167,651,1230,849,1545,340,348,406,509,392,505,425,524,469,688,576,778,256,393,740,1090,754,1154,694,866,710,986,740,1048,642,841
        Harvesting and threshing,6012,2249,6333,2276,5530,2237,7924,2482,7530,2146,8543,3007,8138,3727,8374,3603,7835,3935,9718,3326,10757,3190,7640,2587,10555,8001,12524,7968,4056,3359,10650,5538,11579,5873,8562,4052
        Post-harvest labor,331,283,375,302,266,251,365,244,382,299,338,134,556,427,493,440,637,404,602,417,693,445,422,289,744,731,789,687,597,863,772,604,808,588,690,642
        Permanent hired labor,0,...,0,...,0,...,0,...,0,...,0,...,614,2244,672,1856,540,2700,448,1429,672,1714,0,...,1166,3311,1383,3684,450,1385,272,1373,393,1639,0,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,106,54,112,48,97,64,128,59,123,67,135,46,410,393,363,350,470,443,474,439,454,427,515,473,609,773,651,735,469,895,284,226,299,227,250,224
        Land preparation,708,578,719,576,692,611,570,772,439,425,776,1144,682,1010,719,1240,635,622,692,951,686,1013,706,841,683,803,779,869,366,407,921,1100,986,1168,775,929
        Crop establishment,27,99,45,127,0,...,288,415,462,454,15,39,137,304,146,363,126,212,26,70,30,72,16,65,409,1245,258,537,909,2368,461,930,444,678,499,1350
        Crop care and maintenance,1472,1334,1716,1497,1105,1006,1084,443,1124,472,1021,419,1559,1843,1818,2134,1227,1355,1107,1110,1364,1245,594,479,1219,1678,1446,1835,468,555,1625,2178,1989,2475,807,856
        Harvesting and threshing,28,98,47,125,0,...,4,15,6,20,0,...,0,...,0,...,0,...,0,...,0,...,0,...,28,182,0,...,120,369,43,183,25,149,84,241
        Post-harvest labor,19,37,25,47,11,15,245,210,323,200,122,170,105,173,132,212,72,98,78,98,102,111,28,30,0,...,0,...,0,...,33,77,28,74,46,83
 Power,191,408,125,334,291,501,0,...,0,...,0,...,427,706,495,758,340,637,178,406,236,455,63,260,421,575,458,582,300,550,346,595,449,674,115,237
 Total Labor and Power Costs,14060,,14068,,14049,,16416,,15810,,17369,,20788,,21612,,19732,,21714,,23347,,18448,,25802,,28760,,16041,,24825,,26950,,20045,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,861,762,655,447,1170,1029,378,384,289,268,519,510,980,564,948,603,1022,519,840,707,876,755,770,618,1834,1459,1947,1586,1461,858,1309,1039,1471,1046,944,939
      Irrigation,692,1220,1153,1408,0,...,1100,1251,1800,1130,0,...,1061,1556,1889,1661,0,...,662,716,994,661,0,...,1114,1869,1452,2018,0,...,447,1187,645,1384,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,285,267,247,295,333,221,281,256,299,254,245,264,71,310,92,352,0,...,130,222,107,119,181,357
      Land tax,140,423,213,539,30,54,54,110,70,128,29,76,267,429,381,511,121,231,77,106,97,110,39,87,856,3302,1115,3737,0,...,486,1626,702,1919,0,...
      Land rent,4213,3982,4799,4269,3333,3535,4551,4201,4510,4098,4616,4692,8309,4322,8678,4345,7838,4334,8593,3247,8729,2466,8320,4504,6994,10025,8498,10911,2031,2920,7312,8354,6689,7290,8715,10357
      Other inputs,464,1445,211,265,843,2280,354,282,255,206,509,329,462,523,389,573,555,445,865,979,874,1024,845,912,905,646,1046,655,440,319,1082,495,1155,480,918,494
      Interest on capital,22,21,25,25,18,13,25,13,26,14,24,11,1324,1607,1415,1793,1208,1362,1278,1566,1353,1541,1127,1652,1116,2038,1284,2182,561,1366,743,1430,703,1127,833,1969
 Total Other Costs,6391,,7056,,5393,,6463,,6950,,5697,,12689,,13948,,11077,,12597,,13222,,11345,,12891,,15435,,4493,,11509,,11473,,11591,
Total Cost of Production,26135,,26741,,25225,,27902,,27340,,28785,,41740,,43876,,39007,,41978,,44799,,36336,,49166,,55342,,28784,,44889,,47097,,39923,
NET RETURNS,12374,,14187,,9436,,20037,,21991,,16879,,15293,,11424,,20281,,18690,,24172,,8460,,5533,,7519,,1389,,23094,,23590,,22036,
Cost/kg,6.6,,6.24,,7.27,,6.2,,5.84,,6.83,,10.49,,11.25,,9.56,,10.46,,9.98,,11.84,,14.59,,14.66,,14.17,,11.46,,11.6,,11.11,
Net Profit Cost Ratio,0.47,,0.53,,0.37,,0.72,,0.8,,0.59,,0.37,,0.26,,0.52,,0.45,,0.54,,0.23,,0.11,,0.14,,0.05,,0.51,,0.5,,0.55,
Net Profit from Rice Farming,12374,,14187,,9436,,20037,,21991,,16879,,15293,,11424,,20281,,18690,,24172,,8460,,5533,,7519,,1389,,23094,,23590,,22036,
"Net Profit from Rice Farming + Returns
 to Own Labor",14734,,16851,,11341,,22356,,24468,,18948,,18186,,14600,,22811,,21067,,26808,,10318,,8480,,10653,,3721,,26463,,27362,,24497,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",18947,,21650,,14674,,26907,,28979,,23564,,26496,,23278,,30649,,29660,,35537,,18639,,15475,,19151,,5752,,33775,,34051,,33212,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",18969,,21675,,14692,,26932,,29005,,23588,,27820,,24693,,31857,,30938,,36890,,19765,,16591,,20435,,6313,,34518,,34754,,34046,
Agusan del Sur,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 41),,(n = 26),,(n = 15),,(n = 41),,(n = 24),,(n = 17),,(n = 54),,(n = 34),,(n = 20),,(n = 60),,(n = 32),,(n = 28),,(n = 74),,(n = 48),,(n = 26),,(n = 116),,(n = 86),,(n = 30),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.29,0.68,1.24,0.7,1.39,0.67,1.27,0.82,1.21,0.88,1.34,0.74,1.5,1.14,1.78,1.3,1.03,0.56,1.48,1.05,1.36,0.97,1.61,1.14,1.56,1.36,1.39,1.08,1.87,1.75,1.42,0.93,1.52,1,1.16,0.66
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),3666,1324,4029,1202,3037,1327,3874,1482,3656,1254,4181,1749,3328,1547,3514,1572,3011,1488,3769,1395,3634,1250,3924,1553,3437,1521,3371,1281,3558,1908,2866,1673,3177,1750,1972,1000
   Price (₱/kg),9.14,0.62,9.25,0.62,8.95,0.6,10.35,0.73,10.29,0.75,10.42,0.71,14.23,0.92,14.34,0.79,14.04,1.1,14.8,0.62,14.81,0.48,14.8,0.75,16.77,1.75,16.23,1.65,17.78,1.5,17.37,1.2,17.47,1.11,17.07,1.39
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,33496,,37254,,27169,,40081,,37630,,43583,,47353,,50405,,42261,,55797,,53811,,58065,,57644,,54707,,63256,,49773,,55520,,33661,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1024,658,1005,601,1058,769,1161,567,1072,562,1285,568,1785,913,1673,822,1974,1045,1790,912,1842,876,1730,965,2690,1098,2752,1184,2575,931,2866,1307,2803,1362,3046,1138
      Fertilizer,2076,1866,2309,2090,1673,1370,2054,2251,2689,2698,1157,864,2494,2445,3125,2786,1421,1127,2550,2410,3233,2325,1769,2303,3973,2582,4285,2791,3396,2070,3354,1840,3375,1621,3294,2390
      Herbicides,663,609,730,696,548,418,654,531,508,376,860,651,1247,702,1374,645,1031,758,1312,715,1189,772,1451,628,1560,1227,1471,1230,1723,1230,1299,660,1266,603,1395,807
      Insecticides,706,510,623,500,849,514,899,644,903,757,893,463,931,721,838,649,1089,823,1120,848,814,739,1469,841,1154,886,1192,969,1084,719,1465,1004,1433,981,1557,1080
      Fungicides,42,163,47,196,33,87,33,76,18,62,53,90,100,214,79,193,135,248,82,200,89,187,74,218,257,741,340,903,104,183,203,390,212,408,178,341
      Other pesticides,155,278,161,261,144,314,409,739,513,912,263,363,362,392,423,441,259,272,580,505,677,443,469,555,845,547,883,568,774,508,847,544,836,481,877,704
 Total Material Costs,4667,,4875,,4305,,5209,,5702,,4512,,6918,,7511,,5909,,7434,,7845,,6963,,10478,,10923,,9655,,10034,,9925,,10347,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,29,69,30,79,27,48,28,91,39,111,12,51,22,94,23,98,20,89,31,106,41,128,20,75,128,333,178,401,36,90,32,121,28,121,45,119
        Land preparation,1765,1317,2169,1323,1065,1004,2233,1571,2498,1392,1860,1769,1698,1246,1733,1370,1638,1033,1671,1176,1546,976,1814,1374,2507,3954,2054,1337,3345,6416,2049,1439,2127,1349,1825,1674
        Crop establishment,2006,1243,2099,1187,1845,1362,2319,1380,2447,1130,2139,1692,1954,2388,1625,2408,2513,2306,2678,2174,2375,2130,3023,2211,3087,2752,3038,2719,3178,2863,3332,2708,3147,2768,3861,2496
        Crop care and maintenance,638,767,680,816,566,695,778,1386,523,757,1138,1934,276,356,208,309,391,405,390,556,343,531,442,588,864,1505,1185,1770,272,398,640,773,705,786,456,717
        Harvesting and threshing,5261,2034,5764,1919,4389,1992,6326,2473,5720,2000,7181,2865,7626,3715,8235,3712,6592,3575,8675,3404,8326,3049,9075,3786,8025,4873,7613,4008,8787,6181,8173,10620,9068,12074,5607,3281
        Post-harvest labor,356,351,332,304,397,429,466,446,348,365,634,506,443,416,532,455,291,291,523,510,431,411,629,594,773,717,828,808,672,508,819,754,859,796,704,613
        Permanent hired labor,199,786,271,963,74,285,393,1285,546,1563,177,730,606,1971,963,2426,0,...,343,1335,0,...,734,1896,264,1276,0,...,750,2091,847,2799,1085,3200,165,626
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,57,52,64,53,46,50,94,88,93,94,96,81,178,256,147,249,230,264,213,307,228,346,196,261,246,400,205,341,322,490,263,741,281,853,210,203
        Land preparation,391,441,339,370,481,546,448,527,405,492,510,581,737,707,670,741,852,647,788,916,960,1066,593,674,616,751,645,762,562,742,883,1297,848,1395,984,977
        Crop establishment,11,24,8,19,18,30,459,578,686,604,138,352,395,375,359,376,455,374,175,305,257,378,82,151,208,320,243,333,144,291,227,334,228,325,227,366
        Crop care and maintenance,1237,1245,1621,1362,571,609,1147,733,1301,752,929,665,1427,1449,1625,1597,1090,1112,1837,2169,2727,2477,821,1109,1123,1155,957,1027,1429,1326,1222,1166,1229,1271,1201,814
        Harvesting and threshing,0,...,0,...,0,...,0,...,0,...,0,...,32,135,15,80,60,196,2,17,0,...,5,25,0,...,0,...,0,...,31,128,42,147,0,...
        Post-harvest labor,25,46,21,40,31,57,229,166,206,158,261,178,126,212,150,240,87,150,147,227,217,230,67,198,0,...,0,...,0,...,8,27,7,28,9,24
 Power,178,385,162,379,205,408,284,649,246,507,338,823,1522,1164,1236,1127,2010,1085,1204,1029,1256,1225,1145,766,842,853,841,841,843,893,827,710,836,681,799,798
 Total Labor and Power Costs,12153,,13560,,9714,,15205,,15057,,15413,,17042,,17521,,16228,,18678,,18706,,18646,,18685,,17787,,20343,,19353,,20490,,16093,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,756,482,748,520,770,426,997,1251,754,552,1341,1805,1209,1278,1043,1288,1493,1243,1252,828,1098,662,1429,968,1320,964,1358,934,1250,1033,1581,1187,1267,907,2482,1430
      Irrigation,881,1189,1303,1252,150,581,661,664,1128,466,0,...,1012,1053,1608,891,0,...,833,861,1562,484,0,...,575,992,886,1116,0,...,530,651,715,662,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,352,323,268,321,493,279,201,296,254,266,140,320,43,65,49,74,31,43,45,90,51,101,26,45
      Land tax,115,219,122,247,103,166,371,1064,212,449,597,1565,469,577,396,448,595,743,93,129,98,117,86,144,0,...,0,...,0,...,275,1209,154,1006,621,1633
      Land rent,2043,2972,2401,3234,1422,2431,2324,3661,2886,3916,1531,3213,9481,4558,9977,5471,8639,2185,11090,3748,10105,3289,12216,3975,3109,4346,2637,3742,3980,5256,3263,5645,3798,6132,1729,3585
      Other inputs,321,446,385,521,209,250,216,335,213,243,221,443,1136,1275,1395,1403,694,889,525,765,428,592,636,924,1015,396,1040,344,971,483,830,447,906,470,613,282
      Interest on capital,28,21,30,21,25,23,32,23,30,23,34,24,1381,1324,1552,1315,1091,1323,1201,1326,1529,1487,826,1015,605,577,643,600,535,536,729,1109,686,1117,853,1098
 Total Other Costs,4144,,4989,,2679,,4601,,5223,,3724,,15041,,16239,,13004,,15195,,15074,,15333,,6667,,6613,,6766,,7253,,7578,,6322,
Total Cost of Production,20964,,23425,,16698,,25015,,25983,,23649,,39001,,41271,,35141,,41306,,41625,,40942,,35829,,35323,,36765,,36640,,37993,,32762,
NET RETURNS,12532,,13830,,10471,,15067,,11647,,19934,,8352,,9134,,7120,,14490,,12186,,17123,,21815,,19384,,26492,,13133,,17527,,900,
Cost/kg,5.72,,5.81,,5.5,,6.46,,7.11,,5.66,,11.72,,11.74,,11.67,,10.96,,11.45,,10.43,,10.43,,10.48,,10.33,,12.79,,11.96,,16.61,
Net Profit Cost Ratio,0.6,,0.59,,0.63,,0.6,,0.45,,0.84,,0.21,,0.22,,0.2,,0.35,,0.29,,0.42,,0.61,,0.55,,0.72,,0.36,,0.46,,0.03,
Net Profit from Rice Farming,12532,,13830,,10471,,15067,,11647,,19934,,8352,,9134,,7120,,14490,,12186,,17123,,21815,,19384,,26492,,13133,,17527,,900,
"Net Profit from Rice Farming + Returns
 to Own Labor",14253,,15882,,11619,,17444,,14338,,21869,,11247,,12101,,9893,,17654,,16574,,18886,,24009,,21434,,28950,,15766,,20162,,3531,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",16296,,18283,,13040,,19767,,17224,,23399,,20729,,22078,,18532,,28744,,26679,,31102,,27118,,24072,,32930,,19030,,23960,,5259,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",16324,,18313,,13065,,19799,,17253,,23434,,22109,,23629,,19622,,29945,,28209,,31928,,27723,,24715,,33465,,19759,,24646,,6112,
Lanao Del Sur,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 78),,(n = 32),,(n = 46),,(n = 0),,(n = 0),,(n = 0),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.02,0.95,1.31,1.39,0.82,0.33,...,...,...,...,...,...
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2394,2039,2790,2689,2118,1394,...,...,...,...,...,...
   Price (₱/kg),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17.04,1.89,17.38,2,16.81,1.8,...,...,...,...,...,...
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
